Statistic Label,Year,Type of Vehicle,UNIT,VALUE,,,,,
Vehicle Population,2000,All vehicle types,Number,1666744,,,,Type of Vehicle,(Multiple Items)
Vehicle Population,2000,Private cars,Number,1314059,,,,,
Vehicle Population,2000,Goods vehicles,Number,199259,,,,Row Labels,Sum of VALUE
Vehicle Population,2000,Motor cycles,Number,28489,,,,Average Kilometres Travelled(million),477259
Vehicle Population,2000,Tractors & Machinery,Number,74211,,,,2000,21260
Vehicle Population,2000,Small PSVs,Number,13983,,,,2001,21440
Vehicle Population,2000,Large PSVs,Number,6726,,,,2002,21213
Vehicle Population,2000,Exempt vehicles,Number,12448,,,,2003,21497
Vehicle Population,2000,Other vehicles,Number,17569,,,,2004,21937
Vehicle Population,2001,All vehicle types,Number,1748599,,,,2005,21747
Vehicle Population,2001,Private cars,Number,1372672,,,,2006,21253
Vehicle Population,2001,Goods vehicles,Number,214767,,,,2007,20826
Vehicle Population,2001,Motor cycles,Number,31589,,,,2008,20458
Vehicle Population,2001,Tractors & Machinery,Number,73281,,,,2009,20909
Vehicle Population,2001,Small PSVs,Number,15799,,,,2010,20027
Vehicle Population,2001,Large PSVs,Number,6985,,,,2011,19896
Vehicle Population,2001,Exempt vehicles,Number,13744,,,,2012,19384
Vehicle Population,2001,Other vehicles,Number,19762,,,,2013,19623
Vehicle Population,2002,All vehicle types,Number,1833705,,,,2014,19575
Vehicle Population,2002,Private cars,Number,1437985,,,,2015,20348
Vehicle Population,2002,Goods vehicles,Number,228658,,,,2016,20738
Vehicle Population,2002,Motor cycles,Number,32835,,,,2017,20634
Vehicle Population,2002,Tractors & Machinery,Number,73356,,,,2018,19721
Vehicle Population,2002,Small PSVs,Number,18215,,,,2019,19093
Vehicle Population,2002,Large PSVs,Number,7050,,,,2020,14131
Vehicle Population,2002,Exempt vehicles,Number,14851,,,,2021,15857
Vehicle Population,2002,Other vehicles,Number,20754,,,,2022,17848
Vehicle Population,2003,All vehicle types,Number,1918721,,,,2023,17844
Vehicle Population,2003,Private cars,Number,1500123,,,,Kilometres Travelled(million),753277
Vehicle Population,2003,Goods vehicles,Number,244634,,,,2000,23177
Vehicle Population,2003,Motor cycles,Number,33920,,,,2001,24424
Vehicle Population,2003,Tractors & Machinery,Number,74700,,,,2002,25313
Vehicle Population,2003,Small PSVs,Number,19947,,,,2003,26760
Vehicle Population,2003,Large PSVs,Number,7203,,,,2004,28551
Vehicle Population,2003,Exempt vehicles,Number,15909,,,,2005,29716
Vehicle Population,2003,Other vehicles,Number,22285,,,,2006,30787
Vehicle Population,2004,All vehicle types,Number,2013113,,,,2007,32103
Vehicle Population,2004,Private cars,Number,1568619,,,,2008,31609
Vehicle Population,2004,Goods vehicles,Number,262323,,,,2009,33526
Vehicle Population,2004,Motor cycles,Number,34768,,,,2010,31857
Vehicle Population,2004,Tractors & Machinery,Number,76061,,,,2011,31752
Vehicle Population,2004,Small PSVs,Number,21251,,,,2012,31182
