Statistic,Age Group,Sex,Road User Type,UNIT,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Killed Casualties,All ages,Male,All road users,Number,286,262,250,199,182,161,130,108,142,132,122,138,116,109,105,110,99,118,140
Killed Casualties,All ages,Male,Pedestrians,Number,51,48,52,31,26,32,33,20,18,20,22,25,24,29,20,19,13,27,30
Killed Casualties,All ages,Male,Pedal cyclists,Number,7,7,10,11,7,4,9,4,4,10,9,8,9,9,6,10,6,6,6
Killed Casualties,All ages,Male,Motor cyclists,Number,53,26,33,28,25,16,17,16,24,23,21,20,19,15,16,17,22,23,25
Killed Casualties,All ages,Male,All Car users,Number,148,156,118,102,106,94,57,53,81,68,60,77,52,47,55,45,54,52,63
Killed Casualties,All ages,Male,Car drivers,Number,104,109,85,75,76,60,42,36,61,46,46,60,39,37,45,37,45,40,42
Killed Casualties,All ages,Male,Car passengers,Number,44,47,33,27,30,34,15,17,20,22,14,17,13,10,10,8,9,12,21
Killed Casualties,All ages,Male,Other road users,Number,27,25,37,27,18,15,14,15,15,11,10,8,12,9,8,19,4,10,16
Killed Casualties,All ages,Female,All road users,Number,102,97,85,75,56,46,56,54,46,58,40,48,40,30,35,37,37,35,39
Killed Casualties,All ages,Female,Pedestrians,Number,21,22,28,17,14,12,14,9,13,21,9,10,7,13,7,14,7,15,13
Killed Casualties,All ages,Female,Pedal cyclists,Number,2,2,4,2,0,1,0,4,1,3,1,2,5,0,2,0,1,1,3
Killed Casualties,All ages,Female,Motor cyclists,Number,2,3,0,1,0,1,1,3,2,1,1,2,1,0,0,0,0,0,0
Killed Casualties,All ages,Female,All Car users,Number,70,67,53,55,40,31,38,36,26,33,29,33,27,14,26,23,28,19,22
Killed Casualties,All ages,Female,Car drivers,Number,38,36,25,34,31,19,23,28,18,20,17,16,15,8,21,9,20,9,11
Killed Casualties,All ages,Female,Car passengers,Number,32,31,28,21,9,12,15,8,8,13,12,17,12,6,5,14,8,10,11
Killed Casualties,All ages,Female,Other road users,Number,7,3,0,0,2,1,3,2,4,0,0,1,0,3,0,0,1,0,1
Killed Casualties,0 - 5 years,Male,All road users,Number,3,5,2,3,5,3,2,0,1,2,1,1,0,0,2,0,1,1,1
Killed Casualties,0 - 5 years,Male,Pedestrians,Number,3,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0
Killed Casualties,0 - 5 years,Male,Pedal cyclists,Number,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,0 - 5 years,Male,Motor cyclists,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Killed Casualties,0 - 5 years,Male,All Car users,Number,0,4,2,0,2,0,1,0,1,2,1,1,0,0,2,0,0,0,1
Killed Casualties,0 - 5 years,Male,Car drivers,Number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
