STATISTIC,Statistic Label,TLIST(A1),Year,C02875V03459,Type of Vehicle,UNIT,VALUE
THA10C1,Vehicle Population,2000,2000,-,All vehicle types,Number,1666744
THA10C1,Vehicle Population,2000,2000,10,Private cars,Number,1314059
THA10C1,Vehicle Population,2000,2000,20,Goods vehicles,Number,199259
THA10C1,Vehicle Population,2000,2000,30,Motor cycles,Number,28489
THA10C1,Vehicle Population,2000,2000,40,Tractors & Machinery,Number,74211
THA10C1,Vehicle Population,2000,2000,50,Small PSVs,Number,13983
THA10C1,Vehicle Population,2000,2000,60,Large PSVs,Number,6726
THA10C1,Vehicle Population,2000,2000,70,Exempt vehicles,Number,12448
THA10C1,Vehicle Population,2000,2000,80,Other vehicles,Number,17569
THA10C1,Vehicle Population,2001,2001,-,All vehicle types,Number,1748599
THA10C1,Vehicle Population,2001,2001,10,Private cars,Number,1372672
THA10C1,Vehicle Population,2001,2001,20,Goods vehicles,Number,214767
THA10C1,Vehicle Population,2001,2001,30,Motor cycles,Number,31589
THA10C1,Vehicle Population,2001,2001,40,Tractors & Machinery,Number,73281
THA10C1,Vehicle Population,2001,2001,50,Small PSVs,Number,15799
THA10C1,Vehicle Population,2001,2001,60,Large PSVs,Number,6985
THA10C1,Vehicle Population,2001,2001,70,Exempt vehicles,Number,13744
THA10C1,Vehicle Population,2001,2001,80,Other vehicles,Number,19762
THA10C1,Vehicle Population,2002,2002,-,All vehicle types,Number,1833705
THA10C1,Vehicle Population,2002,2002,10,Private cars,Number,1437985
THA10C1,Vehicle Population,2002,2002,20,Goods vehicles,Number,228658
THA10C1,Vehicle Population,2002,2002,30,Motor cycles,Number,32835
THA10C1,Vehicle Population,2002,2002,40,Tractors & Machinery,Number,73356
THA10C1,Vehicle Population,2002,2002,50,Small PSVs,Number,18215
THA10C1,Vehicle Population,2002,2002,60,Large PSVs,Number,7050
THA10C1,Vehicle Population,2002,2002,70,Exempt vehicles,Number,14851
THA10C1,Vehicle Population,2002,2002,80,Other vehicles,Number,20754
THA10C1,Vehicle Population,2003,2003,-,All vehicle types,Number,1918721
THA10C1,Vehicle Population,2003,2003,10,Private cars,Number,1500123
THA10C1,Vehicle Population,2003,2003,20,Goods vehicles,Number,244634
THA10C1,Vehicle Population,2003,2003,30,Motor cycles,Number,33920
THA10C1,Vehicle Population,2003,2003,40,Tractors & Machinery,Number,74700
THA10C1,Vehicle Population,2003,2003,50,Small PSVs,Number,19947
THA10C1,Vehicle Population,2003,2003,60,Large PSVs,Number,7203
THA10C1,Vehicle Population,2003,2003,70,Exempt vehicles,Number,15909
THA10C1,Vehicle Population,2003,2003,80,Other vehicles,Number,22285
THA10C1,Vehicle Population,2004,2004,-,All vehicle types,Number,2013113
THA10C1,Vehicle Population,2004,2004,10,Private cars,Number,1568619
THA10C1,Vehicle Population,2004,2004,20,Goods vehicles,Number,262323
THA10C1,Vehicle Population,2004,2004,30,Motor cycles,Number,34768
THA10C1,Vehicle Population,2004,2004,40,Tractors & Machinery,Number,76061
THA10C1,Vehicle Population,2004,2004,50,Small PSVs,Number,21251
THA10C1,Vehicle Population,2004,2004,60,Large PSVs,Number,7373
THA10C1,Vehicle Population,2004,2004,70,Exempt vehicles,Number,17177
THA10C1,Vehicle Population,2004,2004,80,Other vehicles,Number,25541
THA10C1,Vehicle Population,2005,2005,-,All vehicle types,Number,2115150
THA10C1,Vehicle Population,2005,2005,10,Private cars,Number,1647331
THA10C1,Vehicle Population,2005,2005,20,Goods vehicles,Number,280217
THA10C1,Vehicle Population,2005,2005,30,Motor cycles,Number,34373
THA10C1,Vehicle Population,2005,2005,40,Tractors & Machinery,Number,76002
THA10C1,Vehicle Population,2005,2005,50,Small PSVs,Number,22315
THA10C1,Vehicle Population,2005,2005,60,Large PSVs,Number,7489
THA10C1,Vehicle Population,2005,2005,70,Exempt vehicles,Number,18672
THA10C1,Vehicle Population,2005,2005,80,Other vehicles,Number,28751
THA10C1,Vehicle Population,2006,2006,-,All vehicle types,Number,2246988
THA10C1,Vehicle Population,2006,2006,10,Private cars,Number,1746845
THA10C1,Vehicle Population,2006,2006,20,Goods vehicles,Number,305743
THA10C1,Vehicle Population,2006,2006,30,Motor cycles,Number,34410
THA10C1,Vehicle Population,2006,2006,40,Tractors & Machinery,Number,76908
THA10C1,Vehicle Population,2006,2006,50,Small PSVs,Number,23644
THA10C1,Vehicle Population,2006,2006,60,Large PSVs,Number,7771
THA10C1,Vehicle Population,2006,2006,70,Exempt vehicles,Number,20231
THA10C1,Vehicle Population,2006,2006,80,Other vehicles,Number,31436
THA10C1,Vehicle Population,2007,2007,-,All vehicle types,Number,2400476
THA10C1,Vehicle Population,2007,2007,10,Private cars,Number,1858906
THA10C1,Vehicle Population,2007,2007,20,Goods vehicles,Number,335716
THA10C1,Vehicle Population,2007,2007,30,Motor cycles,Number,35841
THA10C1,Vehicle Population,2007,2007,40,Tractors & Machinery,Number,78861
THA10C1,Vehicle Population,2007,2007,50,Small PSVs,Number,26139
THA10C1,Vehicle Population,2007,2007,60,Large PSVs,Number,8181
THA10C1,Vehicle Population,2007,2007,70,Exempt vehicles,Number,22348
THA10C1,Vehicle Population,2007,2007,80,Other vehicles,Number,34483
THA10C1,Vehicle Population,2008,2008,-,All vehicle types,Number,2502429
THA10C1,Vehicle Population,2008,2008,10,Private cars,Number,1932729
THA10C1,Vehicle Population,2008,2008,20,Goods vehicles,Number,352239
THA10C1,Vehicle Population,2008,2008,30,Motor cycles,Number,38068
THA10C1,Vehicle Population,2008,2008,40,Tractors & Machinery,Number,79404
THA10C1,Vehicle Population,2008,2008,50,Small PSVs,Number,29159
