Statistic Label,Year,Hour of Day,UNIT,VALUE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatal Collisions,2005,All hours,Number,360,,,,,,,,,,,,,,,,,,,,Statistic Label,Fatal Collisions,,,,,Statistic Label,Fatal Collisions
Fatal Collisions,2005,12 midnight,Number,24,,,Row Labels,Sum of VALUE,,,,,,,,,,,,,,,,Hour of Day,(Multiple Items),,,,,Hour of Day,(Multiple Items)
Fatal Collisions,2005,1,Number,15,,,Fatal Collisions,2406,,total ,3639,,,,,Row Labels,Sum of VALUE,,Night =,0.338829349,,,,,,,,,,,
Fatal Collisions,2005,2,Number,15,,,6,93,,Day=,0.661170651,,,,,Fatal Collisions,1233,,,,,,,Year,Total,,,,,Year,Total
Fatal Collisions,2005,3,Number,18,,,2005,9,,,,,,,,1,154,,,,,,,2005,226,,,,,2005,134
Fatal Collisions,2005,4,Number,16,,,2006,6,,,,,,,,2005,15,,,,,,,2006,196,,,,,2006,125
Fatal Collisions,2005,5,Number,8,,,2007,6,,,,,,,,2006,9,,,,,,,2007,217,,,,,2007,92
Fatal Collisions,2005,6,Number,9,,,2008,2,,,,,,,,2007,15,,,,,,,2008,169,,,,,2008,85
Fatal Collisions,2005,7,Number,18,,,2009,11,,,,,,,,2008,9,,,,,,,2009,146,,,,,2009,74
Fatal Collisions,2005,8,Number,17,,,2010,9,,,,,,,,2009,10,,,,,,,2010,105,,,,,2010,80
Fatal Collisions,2005,9,Number,12,,,2011,4,,,,,,,,2010,10,,,,,,,2011,107,,,,,2011,65
Fatal Collisions,2005,10,Number,6,,,2012,3,,,,,,,,2011,8,,,,,,,2012,102,,,,,2012,50
Fatal Collisions,2005,11,Number,9,,,2013,5,,,,,,,,2012,5,,,,,,,2013,121,,,,,2013,58
Fatal Collisions,2005,12,Number,13,,,2014,4,,,,,,,,2013,7,,,,,,,2014,130,,,,,2014,48
Fatal Collisions,2005,13,Number,14,,,2015,5,,,,,,,,2014,9,,,,,,,2015,98,,,,,2015,57
Fatal Collisions,2005,14,Number,11,,,2016,3,,,,,,,,2015,5,,,,,,,2016,116,,,,,2016,58
Fatal Collisions,2005,15,Number,19,,,2017,3,,,,,,,,2016,9,,,,,,,2017,102,,,,,2017,39
Fatal Collisions,2005,16,Number,18,,,2018,2,,,,,,,,2017,7,,,,,,,2018,81,,,,,2018,51
Fatal Collisions,2005,17,Number,21,,,2019,7,,,,,,,,2018,7,,,,,,,2019,95,,,,,2019,34
Fatal Collisions,2005,18,Number,22,,,2020,3,,,,,,,,2019,8,,,,,,,2020,99,,,,,2020,37
Fatal Collisions,2005,19,Number,18,,,2021,3,,,,,,,,2020,3,,,,,,,2021,87,,,,,2021,37
Fatal Collisions,2005,20,Number,19,,,2022,2,,,,,,,,2021,5,,,,,,,2022,101,,,,,2022,46
Fatal Collisions,2005,21,Number,12,,,2023,6,,,,,,,,2022,6,,,,,,,2023,108,,,,,2023,63
Fatal Collisions,2005,22,Number,17,,,7,135,,,,,,,,2023,7,,,,,,,Total Day Death,2406,,,,,Total Night Death,1233
Fatal Collisions,2005,23,Number,9,,,2005,18,,,,,,,,2,152,,,,,,,,,,,,,,
Fatal Collisions,2006,All hours,Number,321,,,2006,12,,,,,,,,2005,15,,,,,,,,,,,,,,
Fatal Collisions,2006,12 midnight,Number,20,,,2007,22,,,,,,,,2006,11,,,,,,,,,,,,,,
Fatal Collisions,2006,1,Number,9,,,2008,10,,,,,,,,2007,15,,,,,,,,,,,,,,
Fatal Collisions,2006,2,Number,11,,,2009,9,,,,,,,,2008,11,,,,,,,,,,,,,,
Fatal Collisions,2006,3,Number,19,,,2010,8,,,,,,,,2009,14,,,,,,,,,,,,,,
Fatal Collisions,2006,4,Number,11,,,2011,5,,,,,,,,2010,11,,,,,,,,,,,,,,
Fatal Collisions,2006,5,Number,13,,,2012,4,,,,,,,,2011,7,,,,,,,,,,,,,,
Fatal Collisions,2006,6,Number,6,,,2013,4,,,,,,,,2012,6,,,,,,,,,,,,,,
Fatal Collisions,2006,7,Number,12,,,2014,5,,,,,,,,2013,9,,,,,,,,,,,,,,
Fatal Collisions,2006,8,Number,17,,,2015,4,,,,,,,,2014,6,,,,,,,,,,,,,,
Fatal Collisions,2006,9,Number,13,,,2016,6,,,,,,,,2015,8,,,,,,,,,,,,,,
Fatal Collisions,2006,10,Number,6,,,2017,8,,,,,,,,2016,6,,,,,,,,,,,,,,
Fatal Collisions,2006,11,Number,11,,,2018,2,,,,,,,,2017,3,,,,,,,,,,,,,,
Fatal Collisions,2006,12,Number,8,,,2019,5,,,,,,,,2018,1,,,,,,,,,,,,,,
Fatal Collisions,2006,13,Number,15,,,2020,4,,,,,,,,2019,6,,,,,,,,,,,,,,
Fatal Collisions,2006,14,Number,18,,,2021,5,,,,,,,,2020,5,,,,,,,,,,,,,,
Fatal Collisions,2006,15,Number,12,,,2022,2,,,,,,,,2021,2,,,,,,,,,,,,,,
Fatal Collisions,2006,16,Number,17,,,2023,2,,,,,,,,2022,5,,,,,,,,,,,,,,
Fatal Collisions,2006,17,Number,15,,,8,141,,,,,,,,2023,11,,,,,,,,,,,,,,
Fatal Collisions,2006,18,Number,21,,,2005,17,,,,,,,,3,126,,,,,,,,,,,,,,
Fatal Collisions,2006,19,Number,12,,,2006,17,,,,,,,,2005,18,,,,,,,,,,,,,,
Fatal Collisions,2006,20,Number,13,,,2007,14,,,,,,,,2006,19,,,,,,,,,,,,,,
Fatal Collisions,2006,21,Number,17,,,2008,18,,,,,,,,2007,12,,,,,,,,,,,,,,
Fatal Collisions,2006,22,Number,12,,,2009,7,,,,,,,,2008,11,,,,,,,,,,,,,,
Fatal Collisions,2006,23,Number,13,,,2010,5,,,,,,,,2009,5,,,,,,,,,,,,,,
Fatal Collisions,2007,All hours,Number,309,,,2011,4,,,,,,,,2010,8,,,,,,,,,,,,,,
Fatal Collisions,2007,12 midnight,Number,8,,,2012,7,,,,,,,,2011,9,,,,,,,,,,,,,,
Fatal Collisions,2007,1,Number,15,,,2013,5,,,,,,,,2012,6,,,,,,,,,,,,,,
Fatal Collisions,2007,2,Number,15,,,2014,8,,,,,,,,2013,4,,,,,,,,,,,,,,
Fatal Collisions,2007,3,Number,12,,,2015,3,,,,,,,,2014,4,,,,,,,,,,,,,,
Fatal Collisions,2007,4,Number,4,,,2016,5,,,,,,,,2015,6,,,,,,,,,,,,,,
Fatal Collisions,2007,5,Number,7,,,2017,4,,,,,,,,2016,3,,,,,,,,,,,,,,
Fatal Collisions,2007,6,Number,6,,,2018,6,,,,,,,,2017,5,,,,,,,,,,,,,,
Fatal Collisions,2007,7,Number,22,,,2019,5,,,,,,,,2018,4,,,,,,,,,,,,,,
Fatal Collisions,2007,8,Number,14,,,2020,3,,,,,,,,2019,2,,,,,,,,,,,,,,
Fatal Collisions,2007,9,Number,19,,,2021,4,,,,,,,,2020,1,,,,,,,,,,,,,,
Fatal Collisions,2007,10,Number,7,,,2022,3,,,,,,,,2021,2,,,,,,,,,,,,,,
Fatal Collisions,2007,11,Number,11,,,2023,6,,,,,,,,2022,3,,,,,,,,,,,,,,
Fatal Collisions,2007,12,Number,10,,,9,135,,,,,,,,2023,4,,,,,,,,,,,,,,
Fatal Collisions,2007,13,Number,8,,,2005,12,,,,,,,,4,95,,,,,,,,,,,,,,
Fatal Collisions,2007,14,Number,16,,,2006,13,,,,,,,,2005,16,,,,,,,,,,,,,,
Fatal Collisions,2007,15,Number,16,,,2007,19,,,,,,,,2006,11,,,,,,,,,,,,,,
Fatal Collisions,2007,16,Number,13,,,2008,6,,,,,,,,2007,4,,,,,,,,,,,,,,
Fatal Collisions,2007,17,Number,20,,,2009,8,,,,,,,,2008,4,,,,,,,,,,,,,,
Fatal Collisions,2007,18,Number,21,,,2010,6,,,,,,,,2009,5,,,,,,,,,,,,,,
Fatal Collisions,2007,19,Number,14,,,2011,4,,,,,,,,2010,5,,,,,,,,,,,,,,
Fatal Collisions,2007,20,Number,20,,,2012,6,,,,,,,,2011,5,,,,,,,,,,,,,,
Fatal Collisions,2007,21,Number,7,,,2013,4,,,,,,,,2012,5,,,,,,,,,,,,,,
Fatal Collisions,2007,22,Number,11,,,2014,9,,,,,,,,2013,5,,,,,,,,,,,,,,
Fatal Collisions,2007,23,Number,13,,,2015,5,,,,,,,,2014,8,,,,,,,,,,,,,,
Fatal Collisions,2008,All hours,Number,254,,,2016,5,,,,,,,,2015,3,,,,,,,,,,,,,,
Fatal Collisions,2008,12 midnight,Number,15,,,2017,7,,,,,,,,2016,6,,,,,,,,,,,,,,
Fatal Collisions,2008,1,Number,9,,,2018,6,,,,,,,,2017,5,,,,,,,,,,,,,,
Fatal Collisions,2008,2,Number,11,,,2019,3,,,,,,,,2018,6,,,,,,,,,,,,,,
Fatal Collisions,2008,3,Number,11,,,2020,7,,,,,,,,2019,0,,,,,,,,,,,,,,
Fatal Collisions,2008,4,Number,4,,,2021,1,,,,,,,,2020,5,,,,,,,,,,,,,,
Fatal Collisions,2008,5,Number,2,,,2022,9,,,,,,,,2021,0,,,,,,,,,,,,,,
Fatal Collisions,2008,6,Number,2,,,2023,5,,,,,,,,2022,2,,,,,,,,,,,,,,
Fatal Collisions,2008,7,Number,10,,,10,118,,,,,,,,2023,0,,,,,,,,,,,,,,
Fatal Collisions,2008,8,Number,18,,,2005,6,,,,,,,,5,81,,,,,,,,,,,,,,
Fatal Collisions,2008,9,Number,6,,,2006,6,,,,,,,,2005,8,,,,,,,,,,,,,,
Fatal Collisions,2008,10,Number,8,,,2007,7,,,,,,,,2006,13,,,,,,,,,,,,,,
Fatal Collisions,2008,11,Number,11,,,2008,8,,,,,,,,2007,7,,,,,,,,,,,,,,
Fatal Collisions,2008,12,Number,14,,,2009,7,,,,,,,,2008,2,,,,,,,,,,,,,,
Fatal Collisions,2008,13,Number,15,,,2010,6,,,,,,,,2009,6,,,,,,,,,,,,,,
Fatal Collisions,2008,14,Number,10,,,2011,10,,,,,,,,2010,7,,,,,,,,,,,,,,
Fatal Collisions,2008,15,Number,9,,,2012,2,,,,,,,,2011,5,,,,,,,,,,,,,,
Fatal Collisions,2008,16,Number,14,,,2013,5,,,,,,,,2012,1,,,,,,,,,,,,,,
