Road User Type,(Multiple Items),,Road User Type,(Multiple Items),,,Road User Type,(Multiple Items)
,,,Statistic Label,Killed Casualties,,,Statistic Label,Killed Casualties
Row Labels,Sum of VALUE,,,,,,,
2005,192,,Sum of VALUE,Column Labels,,,Row Labels,Sum of VALUE
18 - 20 years,28,,Row Labels,Female,Male,,2005,100.00%
Female,4,,2005,20.83%,79.17%,,18 - 20 years,14.58%
Male,24,,18 - 20 years,14.29%,85.71%,,21 - 24 years,15.10%
21 - 24 years,29,,21 - 24 years,20.69%,79.31%,,25 - 34 years,25.00%
Female,6,,25 - 34 years,22.92%,77.08%,,35 - 44 years,15.63%
Male,23,,35 - 44 years,6.67%,93.33%,,45 - 54 years,10.42%
25 - 34 years,48,,45 - 54 years,30.00%,70.00%,,55 - 64 years,8.85%
Female,11,,55 - 64 years,35.29%,64.71%,,65 years and over,10.42%
Male,37,,65 years and over,25.00%,75.00%,,2006,100.00%
35 - 44 years,30,,2006,22.75%,77.25%,,18 - 20 years,11.98%
Female,2,,18 - 20 years,15.00%,85.00%,,21 - 24 years,20.36%
Male,28,,21 - 24 years,11.76%,88.24%,,25 - 34 years,26.95%
45 - 54 years,20,,25 - 34 years,20.00%,80.00%,,35 - 44 years,13.17%
Female,6,,35 - 44 years,22.73%,77.27%,,45 - 54 years,5.39%
Male,14,,45 - 54 years,33.33%,66.67%,,55 - 64 years,7.19%
55 - 64 years,17,,55 - 64 years,16.67%,83.33%,,65 years and over,14.97%
Female,6,,65 years and over,48.00%,52.00%,,2007,100.00%
Male,11,,2007,18.25%,81.75%,,18 - 20 years,10.95%
65 years and over,20,,18 - 20 years,6.67%,93.33%,,21 - 24 years,13.87%
Female,5,,21 - 24 years,15.79%,84.21%,,25 - 34 years,29.93%
Male,15,,25 - 34 years,14.63%,85.37%,,35 - 44 years,18.98%
2006,167,,35 - 44 years,19.23%,80.77%,,45 - 54 years,6.57%
18 - 20 years,20,,45 - 54 years,22.22%,77.78%,,55 - 64 years,6.57%
Female,3,,55 - 64 years,44.44%,55.56%,,65 years and over,13.14%
Male,17,,65 years and over,22.22%,77.78%,,2008,100.00%
21 - 24 years,34,,2008,26.52%,73.48%,,18 - 20 years,15.15%
Female,4,,18 - 20 years,30.00%,70.00%,,21 - 24 years,21.97%
Male,30,,21 - 24 years,17.24%,82.76%,,25 - 34 years,21.97%
25 - 34 years,45,,25 - 34 years,24.14%,75.86%,,35 - 44 years,17.42%
Female,9,,35 - 44 years,13.04%,86.96%,,45 - 54 years,6.06%
Male,36,,45 - 54 years,50.00%,50.00%,,55 - 64 years,3.03%
35 - 44 years,22,,55 - 64 years,75.00%,25.00%,,65 years and over,14.39%
Female,5,,65 years and over,36.84%,63.16%,,2009,100.00%
Male,17,,2009,23.66%,76.34%,,18 - 20 years,13.74%
45 - 54 years,9,,18 - 20 years,16.67%,83.33%,,21 - 24 years,16.79%
Female,3,,21 - 24 years,13.64%,86.36%,,25 - 34 years,25.95%
