"Statistic Label","Year","Month of Year","UNIT","VALUE"
"Fatal Collisions","2005","All months","Number","360"
"Fatal Collisions","2005","January","Number","31"
"Fatal Collisions","2005","February","Number","34"
"Fatal Collisions","2005","March","Number","23"
"Fatal Collisions","2005","April","Number","20"
"Fatal Collisions","2005","May","Number","36"
"Fatal Collisions","2005","June","Number","20"
"Fatal Collisions","2005","July","Number","38"
"Fatal Collisions","2005","August","Number","23"
"Fatal Collisions","2005","September","Number","29"
"Fatal Collisions","2005","October","Number","38"
"Fatal Collisions","2005","November","Number","31"
"Fatal Collisions","2005","December","Number","37"
"Fatal Collisions","2006","All months","Number","321"
"Fatal Collisions","2006","January","Number","34"
"Fatal Collisions","2006","February","Number","26"
"Fatal Collisions","2006","March","Number","25"
"Fatal Collisions","2006","April","Number","29"
"Fatal Collisions","2006","May","Number","25"
"Fatal Collisions","2006","June","Number","31"
"Fatal Collisions","2006","July","Number","33"
"Fatal Collisions","2006","August","Number","17"
"Fatal Collisions","2006","September","Number","21"
"Fatal Collisions","2006","October","Number","25"
"Fatal Collisions","2006","November","Number","24"
"Fatal Collisions","2006","December","Number","31"
"Fatal Collisions","2007","All months","Number","309"
"Fatal Collisions","2007","January","Number","21"
"Fatal Collisions","2007","February","Number","24"
"Fatal Collisions","2007","March","Number","32"
"Fatal Collisions","2007","April","Number","25"
"Fatal Collisions","2007","May","Number","19"
"Fatal Collisions","2007","June","Number","28"
"Fatal Collisions","2007","July","Number","30"
"Fatal Collisions","2007","August","Number","24"
"Fatal Collisions","2007","September","Number","26"
"Fatal Collisions","2007","October","Number","24"
"Fatal Collisions","2007","November","Number","20"
"Fatal Collisions","2007","December","Number","36"
"Fatal Collisions","2008","All months","Number","254"
"Fatal Collisions","2008","January","Number","25"
"Fatal Collisions","2008","February","Number","27"
"Fatal Collisions","2008","March","Number","18"
"Fatal Collisions","2008","April","Number","19"
"Fatal Collisions","2008","May","Number","16"
"Fatal Collisions","2008","June","Number","23"
"Fatal Collisions","2008","July","Number","24"
"Fatal Collisions","2008","August","Number","25"
"Fatal Collisions","2008","September","Number","19"
"Fatal Collisions","2008","October","Number","21"
"Fatal Collisions","2008","November","Number","20"
"Fatal Collisions","2008","December","Number","17"
"Fatal Collisions","2009","All months","Number","220"
"Fatal Collisions","2009","January","Number","17"
"Fatal Collisions","2009","February","Number","12"
"Fatal Collisions","2009","March","Number","22"
"Fatal Collisions","2009","April","Number","19"
"Fatal Collisions","2009","May","Number","25"
"Fatal Collisions","2009","June","Number","15"
"Fatal Collisions","2009","July","Number","17"
"Fatal Collisions","2009","August","Number","19"
"Fatal Collisions","2009","September","Number","14"
"Fatal Collisions","2009","October","Number","21"
"Fatal Collisions","2009","November","Number","21"
"Fatal Collisions","2009","December","Number","18"
"Fatal Collisions","2010","All months","Number","185"
"Fatal Collisions","2010","January","Number","14"
"Fatal Collisions","2010","February","Number","14"
"Fatal Collisions","2010","March","Number","12"
"Fatal Collisions","2010","April","Number","17"
"Fatal Collisions","2010","May","Number","25"
"Fatal Collisions","2010","June","Number","11"
"Fatal Collisions","2010","July","Number","13"
"Fatal Collisions","2010","August","Number","15"
"Fatal Collisions","2010","September","Number","11"
"Fatal Collisions","2010","October","Number","34"
"Fatal Collisions","2010","November","Number","13"
"Fatal Collisions","2010","December","Number","6"
"Fatal Collisions","2011","All months","Number","172"
"Fatal Collisions","2011","January","Number","16"
"Fatal Collisions","2011","February","Number","18"
"Fatal Collisions","2011","March","Number","14"
"Fatal Collisions","2011","April","Number","8"
"Fatal Collisions","2011","May","Number","10"
"Fatal Collisions","2011","June","Number","14"
"Fatal Collisions","2011","July","Number","17"
"Fatal Collisions","2011","August","Number","14"
"Fatal Collisions","2011","September","Number","13"
"Fatal Collisions","2011","October","Number","14"
"Fatal Collisions","2011","November","Number","18"
"Fatal Collisions","2011","December","Number","16"
"Fatal Collisions","2012","All months","Number","152"
"Fatal Collisions","2012","January","Number","10"
"Fatal Collisions","2012","February","Number","13"
"Fatal Collisions","2012","March","Number","11"
"Fatal Collisions","2012","April","Number","16"
"Fatal Collisions","2012","May","Number","12"
"Fatal Collisions","2012","June","Number","24"
"Fatal Collisions","2012","July","Number","15"
"Fatal Collisions","2012","August","Number","8"
