"Statistic Label","Year","Age Group","Sex","UNIT","VALUE"
"Drivers of Cars Killed in Collisions","2006","All ages","Male","Number","109"
"Drivers of Cars Killed in Collisions","2006","All ages","Female","Number","36"
"Drivers of Cars Killed in Collisions","2006","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2006","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2006","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2006","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2006","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2006","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2006","15 - 17 years","Male","Number","5"
"Drivers of Cars Killed in Collisions","2006","15 - 17 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2006","18 - 20 years","Male","Number","15"
"Drivers of Cars Killed in Collisions","2006","18 - 20 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2006","21 - 24 years","Male","Number","27"
"Drivers of Cars Killed in Collisions","2006","21 - 24 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2006","25 - 34 years","Male","Number","26"
"Drivers of Cars Killed in Collisions","2006","25 - 34 years","Female","Number","8"
"Drivers of Cars Killed in Collisions","2006","35 - 44 years","Male","Number","11"
"Drivers of Cars Killed in Collisions","2006","35 - 44 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2006","45 - 54 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2006","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2006","55 - 64 years","Male","Number","8"
"Drivers of Cars Killed in Collisions","2006","55 - 64 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2006","65 years and over","Male","Number","13"
"Drivers of Cars Killed in Collisions","2006","65 years and over","Female","Number","12"
"Drivers of Cars Killed in Collisions","2006","Age unknown","Male","Number","0"
"Drivers of Cars Killed in Collisions","2006","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2007","All ages","Male","Number","85"
"Drivers of Cars Killed in Collisions","2007","All ages","Female","Number","25"
"Drivers of Cars Killed in Collisions","2007","0 - 5 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2007","0 - 5 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2007","6 - 9 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2007","6 - 9 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2007","10 - 14 years","Male","Number","0"
"Drivers of Cars Killed in Collisions","2007","10 - 14 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2007","15 - 17 years","Male","Number","3"
"Drivers of Cars Killed in Collisions","2007","15 - 17 years","Female","Number","0"
"Drivers of Cars Killed in Collisions","2007","18 - 20 years","Male","Number","11"
"Drivers of Cars Killed in Collisions","2007","18 - 20 years","Female","Number","1"
"Drivers of Cars Killed in Collisions","2007","21 - 24 years","Male","Number","12"
"Drivers of Cars Killed in Collisions","2007","21 - 24 years","Female","Number","3"
"Drivers of Cars Killed in Collisions","2007","25 - 34 years","Male","Number","24"
"Drivers of Cars Killed in Collisions","2007","25 - 34 years","Female","Number","6"
"Drivers of Cars Killed in Collisions","2007","35 - 44 years","Male","Number","12"
"Drivers of Cars Killed in Collisions","2007","35 - 44 years","Female","Number","5"
"Drivers of Cars Killed in Collisions","2007","45 - 54 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2007","45 - 54 years","Female","Number","2"
"Drivers of Cars Killed in Collisions","2007","55 - 64 years","Male","Number","4"
"Drivers of Cars Killed in Collisions","2007","55 - 64 years","Female","Number","4"
"Drivers of Cars Killed in Collisions","2007","65 years and over","Male","Number","13"
"Drivers of Cars Killed in Collisions","2007","65 years and over","Female","Number","4"
"Drivers of Cars Killed in Collisions","2007","Age unknown","Male","Number","2"
"Drivers of Cars Killed in Collisions","2007","Age unknown","Female","Number","0"
"Drivers of Cars Killed in Collisions","2008","All ages","Male","Number","75"
"Drivers of Cars Killed in Collisions","2008","All ages","Female","Number","34"
"Drivers of Cars Killed in Collisions","2008","0 - 5 years","Male","Number","0"
