"STATISTIC Label","Year","Road Type","Road User Type","UNIT","VALUE"
"Serious injuries","2019-2023","Urban road","Pedestrians","Number","1265"
"Serious injuries","2019-2023","Urban road","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Urban road","Motor cyclists","Number","478"
"Serious injuries","2019-2023","Urban road","Drivers","Number","643"
"Serious injuries","2019-2023","Rural road","Pedestrians","Number","161"
"Serious injuries","2019-2023","Rural road","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Rural road","Motor cyclists","Number","443"
"Serious injuries","2019-2023","Rural road","Drivers","Number","1710"
"Serious injuries","2019-2023","Unknown road type","Pedestrians","Number","0"
"Serious injuries","2019-2023","Unknown road type","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Unknown road type","Motor cyclists","Number","0"
"Serious injuries","2019-2023","Unknown road type","Drivers","Number","0"
"Serious injuries","2020-2024","Urban road","Pedestrians","Number",""
"Serious injuries","2020-2024","Urban road","Pedal cyclists","Number","1026"
"Serious injuries","2020-2024","Urban road","Motor cyclists","Number","445"
"Serious injuries","2020-2024","Urban road","Drivers","Number",""
"Serious injuries","2020-2024","Rural road","Pedestrians","Number",""
"Serious injuries","2020-2024","Rural road","Pedal cyclists","Number","252"
"Serious injuries","2020-2024","Rural road","Motor cyclists","Number","439"
"Serious injuries","2020-2024","Rural road","Drivers","Number",""
"Serious injuries","2020-2024","Unknown road type","Pedestrians","Number",""
"Serious injuries","2020-2024","Unknown road type","Pedal cyclists","Number","0"
"Serious injuries","2020-2024","Unknown road type","Motor cyclists","Number","0"
"Serious injuries","2020-2024","Unknown road type","Drivers","Number",""
