"STATISTIC Label","Year","Road Characteristics","Road User Type","UNIT","VALUE"
"Serious injuries","2019-2023","Road with curve / slight bend","Pedestrians","Number","132"
"Serious injuries","2019-2023","Road with curve / slight bend","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Road with curve / slight bend","Motor cyclists","Number","179"
"Serious injuries","2019-2023","Road with curve / slight bend","Drivers","Number","568"
"Serious injuries","2019-2023","Road with severe bend","Pedestrians","Number","18"
"Serious injuries","2019-2023","Road with severe bend","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Road with severe bend","Motor cyclists","Number","94"
"Serious injuries","2019-2023","Road with severe bend","Drivers","Number","184"
"Serious injuries","2019-2023","Straight road","Pedestrians","Number","1276"
"Serious injuries","2019-2023","Straight road","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Straight road","Motor cyclists","Number","648"
"Serious injuries","2019-2023","Straight road","Drivers","Number","1600"
"Serious injuries","2019-2023","Road characteristics unknown","Pedestrians","Number","0"
"Serious injuries","2019-2023","Road characteristics unknown","Pedal cyclists","Number",""
"Serious injuries","2019-2023","Road characteristics unknown","Motor cyclists","Number","0"
"Serious injuries","2019-2023","Road characteristics unknown","Drivers","Number","1"
"Serious injuries","2019-2023","All road characteristics","Pedestrians","Number","1426"
"Serious injuries","2019-2023","All road characteristics","Pedal cyclists","Number",""
"Serious injuries","2019-2023","All road characteristics","Motor cyclists","Number","921"
"Serious injuries","2019-2023","All road characteristics","Drivers","Number","2353"
"Serious injuries","2020-2024","Road with curve / slight bend","Pedestrians","Number",""
"Serious injuries","2020-2024","Road with curve / slight bend","Pedal cyclists","Number","187"
"Serious injuries","2020-2024","Road with curve / slight bend","Motor cyclists","Number","176"
"Serious injuries","2020-2024","Road with curve / slight bend","Drivers","Number",""
"Serious injuries","2020-2024","Road with severe bend","Pedestrians","Number",""
"Serious injuries","2020-2024","Road with severe bend","Pedal cyclists","Number","59"
"Serious injuries","2020-2024","Road with severe bend","Motor cyclists","Number","90"
"Serious injuries","2020-2024","Road with severe bend","Drivers","Number",""
"Serious injuries","2020-2024","Straight road","Pedestrians","Number",""
"Serious injuries","2020-2024","Straight road","Pedal cyclists","Number","1032"
"Serious injuries","2020-2024","Straight road","Motor cyclists","Number","618"
"Serious injuries","2020-2024","Straight road","Drivers","Number",""
"Serious injuries","2020-2024","Road characteristics unknown","Pedestrians","Number",""
"Serious injuries","2020-2024","Road characteristics unknown","Pedal cyclists","Number","0"
"Serious injuries","2020-2024","Road characteristics unknown","Motor cyclists","Number","0"
"Serious injuries","2020-2024","Road characteristics unknown","Drivers","Number",""
"Serious injuries","2020-2024","All road characteristics","Pedestrians","Number",""
"Serious injuries","2020-2024","All road characteristics","Pedal cyclists","Number","1278"
"Serious injuries","2020-2024","All road characteristics","Motor cyclists","Number","884"
"Serious injuries","2020-2024","All road characteristics","Drivers","Number",""
