Statistic Label,Month,Ireland,UNIT,VALUE
Road Fatalities,2000 January,Ireland,Number,32
Road Fatalities,2000 February,Ireland,Number,41
Road Fatalities,2000 March,Ireland,Number,23
Road Fatalities,2000 April,Ireland,Number,42
Road Fatalities,2000 May,Ireland,Number,29
Road Fatalities,2000 June,Ireland,Number,30
Road Fatalities,2000 July,Ireland,Number,39
Road Fatalities,2000 August,Ireland,Number,32
Road Fatalities,2000 September,Ireland,Number,39
Road Fatalities,2000 October,Ireland,Number,40
Road Fatalities,2000 November,Ireland,Number,36
Road Fatalities,2000 December,Ireland,Number,32
Road Fatalities,2001 January,Ireland,Number,30
Road Fatalities,2001 February,Ireland,Number,38
Road Fatalities,2001 March,Ireland,Number,31
Road Fatalities,2001 April,Ireland,Number,22
Road Fatalities,2001 May,Ireland,Number,40
Road Fatalities,2001 June,Ireland,Number,24
Road Fatalities,2001 July,Ireland,Number,41
Road Fatalities,2001 August,Ireland,Number,34
Road Fatalities,2001 September,Ireland,Number,42
Road Fatalities,2001 October,Ireland,Number,32
Road Fatalities,2001 November,Ireland,Number,41
Road Fatalities,2001 December,Ireland,Number,36
Road Fatalities,2002 January,Ireland,Number,35
Road Fatalities,2002 February,Ireland,Number,33
Road Fatalities,2002 March,Ireland,Number,34
Road Fatalities,2002 April,Ireland,Number,32
Road Fatalities,2002 May,Ireland,Number,20
Road Fatalities,2002 June,Ireland,Number,34
Road Fatalities,2002 July,Ireland,Number,42
Road Fatalities,2002 August,Ireland,Number,35
Road Fatalities,2002 September,Ireland,Number,36
Road Fatalities,2002 October,Ireland,Number,31
Road Fatalities,2002 November,Ireland,Number,23
Road Fatalities,2002 December,Ireland,Number,21
Road Fatalities,2003 January,Ireland,Number,20
Road Fatalities,2003 February,Ireland,Number,21
Road Fatalities,2003 March,Ireland,Number,33
Road Fatalities,2003 April,Ireland,Number,23
Road Fatalities,2003 May,Ireland,Number,38
Road Fatalities,2003 June,Ireland,Number,37
Road Fatalities,2003 July,Ireland,Number,32
Road Fatalities,2003 August,Ireland,Number,26
Road Fatalities,2003 September,Ireland,Number,20
Road Fatalities,2003 October,Ireland,Number,34
Road Fatalities,2003 November,Ireland,Number,30
Road Fatalities,2003 December,Ireland,Number,21
Road Fatalities,2004 January,Ireland,Number,32
Road Fatalities,2004 February,Ireland,Number,36
Road Fatalities,2004 March,Ireland,Number,25
Road Fatalities,2004 April,Ireland,Number,27
Road Fatalities,2004 May,Ireland,Number,26
Road Fatalities,2004 June,Ireland,Number,36
Road Fatalities,2004 July,Ireland,Number,38
Road Fatalities,2004 August,Ireland,Number,35
Road Fatalities,2004 September,Ireland,Number,34
Road Fatalities,2004 October,Ireland,Number,22
Road Fatalities,2004 November,Ireland,Number,29
Road Fatalities,2004 December,Ireland,Number,34
Road Fatalities,2005 January,Ireland,Number,33
Road Fatalities,2005 February,Ireland,Number,37
Road Fatalities,2005 March,Ireland,Number,26
Road Fatalities,2005 April,Ireland,Number,23
Road Fatalities,2005 May,Ireland,Number,41
Road Fatalities,2005 June,Ireland,Number,22
Road Fatalities,2005 July,Ireland,Number,41
Road Fatalities,2005 August,Ireland,Number,24
Road Fatalities,2005 September,Ireland,Number,31
Road Fatalities,2005 October,Ireland,Number,44
Road Fatalities,2005 November,Ireland,Number,34
Road Fatalities,2005 December,Ireland,Number,40
Road Fatalities,2006 January,Ireland,Number,40
Road Fatalities,2006 February,Ireland,Number,31
Road Fatalities,2006 March,Ireland,Number,27
Road Fatalities,2006 April,Ireland,Number,37
Road Fatalities,2006 May,Ireland,Number,30
Road Fatalities,2006 June,Ireland,Number,32
Road Fatalities,2006 July,Ireland,Number,38
Road Fatalities,2006 August,Ireland,Number,17
Road Fatalities,2006 September,Ireland,Number,23
Road Fatalities,2006 October,Ireland,Number,32
Road Fatalities,2006 November,Ireland,Number,27
Road Fatalities,2006 December,Ireland,Number,31
Road Fatalities,2007 January,Ireland,Number,22
Road Fatalities,2007 February,Ireland,Number,25
Road Fatalities,2007 March,Ireland,Number,34
Road Fatalities,2007 April,Ireland,Number,30
Road Fatalities,2007 May,Ireland,Number,24
Road Fatalities,2007 June,Ireland,Number,29
Road Fatalities,2007 July,Ireland,Number,31
Road Fatalities,2007 August,Ireland,Number,28
Road Fatalities,2007 September,Ireland,Number,28
Road Fatalities,2007 October,Ireland,Number,27
Road Fatalities,2007 November,Ireland,Number,23
Road Fatalities,2007 December,Ireland,Number,37
Road Fatalities,2008 January,Ireland,Number,25
Road Fatalities,2008 February,Ireland,Number,32
Road Fatalities,2008 March,Ireland,Number,20
Road Fatalities,2008 April,Ireland,Number,19
Road Fatalities,2008 May,Ireland,Number,19
Road Fatalities,2008 June,Ireland,Number,28
Road Fatalities,2008 July,Ireland,Number,26
Road Fatalities,2008 August,Ireland,Number,28
Road Fatalities,2008 September,Ireland,Number,19
