Statistic Label,Year,Seat Belt Usage,UNIT,VALUE
Users of Cars Killed in Collisions,2005,Car drivers: seat belt in use,Number,55
Users of Cars Killed in Collisions,2005,Car drivers: seat belt not in use,Number,38
Users of Cars Killed in Collisions,2005,Car drivers: seat belt usage unknown,Number,37
Users of Cars Killed in Collisions,2005,Car drivers: seat belt usage not stated,Number,14
Users of Cars Killed in Collisions,2005,All car drivers,Number,144
Users of Cars Killed in Collisions,2005,Front seat passengers: seat belt in use,Number,15
Users of Cars Killed in Collisions,2005,Front seat passengers: seat belt not in use,Number,5
Users of Cars Killed in Collisions,2005,Front seat passengers: seat belt usage unknown,Number,13
Users of Cars Killed in Collisions,2005,Front seat passengers: seat belt usage not stated,Number,17
Users of Cars Killed in Collisions,2005,All front seat passengers,Number,50
Users of Cars Killed in Collisions,2006,Car drivers: seat belt in use,Number,49
Users of Cars Killed in Collisions,2006,Car drivers: seat belt not in use,Number,37
Users of Cars Killed in Collisions,2006,Car drivers: seat belt usage unknown,Number,44
Users of Cars Killed in Collisions,2006,Car drivers: seat belt usage not stated,Number,17
Users of Cars Killed in Collisions,2006,All car drivers,Number,147
Users of Cars Killed in Collisions,2006,Front seat passengers: seat belt in use,Number,16
Users of Cars Killed in Collisions,2006,Front seat passengers: seat belt not in use,Number,4
Users of Cars Killed in Collisions,2006,Front seat passengers: seat belt usage unknown,Number,21
Users of Cars Killed in Collisions,2006,Front seat passengers: seat belt usage not stated,Number,5
Users of Cars Killed in Collisions,2006,All front seat passengers,Number,46
Users of Cars Killed in Collisions,2007,Car drivers: seat belt in use,Number,42
Users of Cars Killed in Collisions,2007,Car drivers: seat belt not in use,Number,14
Users of Cars Killed in Collisions,2007,Car drivers: seat belt usage unknown,Number,32
Users of Cars Killed in Collisions,2007,Car drivers: seat belt usage not stated,Number,22
Users of Cars Killed in Collisions,2007,All car drivers,Number,110
Users of Cars Killed in Collisions,2007,Front seat passengers: seat belt in use,Number,17
Users of Cars Killed in Collisions,2007,Front seat passengers: seat belt not in use,Number,6
Users of Cars Killed in Collisions,2007,Front seat passengers: seat belt usage unknown,Number,11
Users of Cars Killed in Collisions,2007,Front seat passengers: seat belt usage not stated,Number,3
Users of Cars Killed in Collisions,2007,All front seat passengers,Number,37
Users of Cars Killed in Collisions,2008,Car drivers: seat belt in use,Number,44
Users of Cars Killed in Collisions,2008,Car drivers: seat belt not in use,Number,12
Users of Cars Killed in Collisions,2008,Car drivers: seat belt usage unknown,Number,43
Users of Cars Killed in Collisions,2008,Car drivers: seat belt usage not stated,Number,10
Users of Cars Killed in Collisions,2008,All car drivers,Number,109
Users of Cars Killed in Collisions,2008,Front seat passengers: seat belt in use,Number,17
Users of Cars Killed in Collisions,2008,Front seat passengers: seat belt not in use,Number,3
Users of Cars Killed in Collisions,2008,Front seat passengers: seat belt usage unknown,Number,13
Users of Cars Killed in Collisions,2008,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2008,All front seat passengers,Number,33
Users of Cars Killed in Collisions,2009,Car drivers: seat belt in use,Number,41
Users of Cars Killed in Collisions,2009,Car drivers: seat belt not in use,Number,21
Users of Cars Killed in Collisions,2009,Car drivers: seat belt usage unknown,Number,44
Users of Cars Killed in Collisions,2009,Car drivers: seat belt usage not stated,Number,1
Users of Cars Killed in Collisions,2009,All car drivers,Number,107
Users of Cars Killed in Collisions,2009,Front seat passengers: seat belt in use,Number,8
Users of Cars Killed in Collisions,2009,Front seat passengers: seat belt not in use,Number,2
Users of Cars Killed in Collisions,2009,Front seat passengers: seat belt usage unknown,Number,11
Users of Cars Killed in Collisions,2009,Front seat passengers: seat belt usage not stated,Number,0
Users of Cars Killed in Collisions,2009,All front seat passengers,Number,21
Users of Cars Killed in Collisions,2010,Car drivers: seat belt in use,Number,39
Users of Cars Killed in Collisions,2010,Car drivers: seat belt not in use,Number,13
Users of Cars Killed in Collisions,2010,Car drivers: seat belt usage unknown,Number,26
Users of Cars Killed in Collisions,2010,Car drivers: seat belt usage not stated,Number,2
Users of Cars Killed in Collisions,2010,All car drivers,Number,80
Users of Cars Killed in Collisions,2010,Front seat passengers: seat belt in use,Number,9
Users of Cars Killed in Collisions,2010,Front seat passengers: seat belt not in use,Number,9
Users of Cars Killed in Collisions,2010,Front seat passengers: seat belt usage unknown,Number,3
Users of Cars Killed in Collisions,2010,Front seat passengers: seat belt usage not stated,Number,1
Users of Cars Killed in Collisions,2010,All front seat passengers,Number,22
Users of Cars Killed in Collisions,2011,Car drivers: seat belt in use,Number,35
Users of Cars Killed in Collisions,2011,Car drivers: seat belt not in use,Number,12
Users of Cars Killed in Collisions,2011,Car drivers: seat belt usage unknown,Number,14
Users of Cars Killed in Collisions,2011,Car drivers: seat belt usage not stated,Number,4
Users of Cars Killed in Collisions,2011,All car drivers,Number,65
Users of Cars Killed in Collisions,2011,Front seat passengers: seat belt in use,Number,11
Users of Cars Killed in Collisions,2011,Front seat passengers: seat belt not in use,Number,1
Users of Cars Killed in Collisions,2011,Front seat passengers: seat belt usage unknown,Number,6
Users of Cars Killed in Collisions,2011,Front seat passengers: seat belt usage not stated,Number,1
Users of Cars Killed in Collisions,2011,All front seat passengers,Number,19
Users of Cars Killed in Collisions,2012,Car drivers: seat belt in use,Number,22
Users of Cars Killed in Collisions,2012,Car drivers: seat belt not in use,Number,14
Users of Cars Killed in Collisions,2012,Car drivers: seat belt usage unknown,Number,24
Users of Cars Killed in Collisions,2012,Car drivers: seat belt usage not stated,Number,4
Users of Cars Killed in Collisions,2012,All car drivers,Number,64
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt in use,Number,4
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt not in use,Number,0
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt usage unknown,Number,9
Users of Cars Killed in Collisions,2012,Front seat passengers: seat belt usage not stated,Number,2
Users of Cars Killed in Collisions,2012,All front seat passengers,Number,15
Users of Cars Killed in Collisions,2013,Car drivers: seat belt in use,Number,27
Users of Cars Killed in Collisions,2013,Car drivers: seat belt not in use,Number,13
Users of Cars Killed in Collisions,2013,Car drivers: seat belt usage unknown,Number,35
